abbr,chamber,name,num_seats,boundary_id
wa,lower,10,2,sldl/wa-10
wa,lower,11,2,sldl/wa-11
wa,lower,1,2,sldl/wa-1
wa,lower,12,2,sldl/wa-12
wa,lower,13,2,sldl/wa-13
wa,lower,14,2,sldl/wa-14
wa,lower,15,2,sldl/wa-15
wa,lower,16,2,sldl/wa-16
wa,lower,17,2,sldl/wa-17
wa,lower,18,2,sldl/wa-18
wa,lower,19,2,sldl/wa-19
wa,lower,20,2,sldl/wa-20
wa,lower,21,2,sldl/wa-21
wa,lower,2,2,sldl/wa-2
wa,lower,22,2,sldl/wa-22
wa,lower,23,2,sldl/wa-23
wa,lower,24,2,sldl/wa-24
wa,lower,25,2,sldl/wa-25
wa,lower,26,2,sldl/wa-26
wa,lower,27,2,sldl/wa-27
wa,lower,28,2,sldl/wa-28
wa,lower,29,2,sldl/wa-29
wa,lower,30,2,sldl/wa-30
wa,lower,31,2,sldl/wa-31
wa,lower,3,2,sldl/wa-3
wa,lower,32,2,sldl/wa-32
wa,lower,33,2,sldl/wa-33
wa,lower,34,2,sldl/wa-34
wa,lower,35,2,sldl/wa-35
wa,lower,36,2,sldl/wa-36
wa,lower,37,2,sldl/wa-37
wa,lower,38,2,sldl/wa-38
wa,lower,39,2,sldl/wa-39
wa,lower,40,2,sldl/wa-40
wa,lower,41,2,sldl/wa-41
wa,lower,4,2,sldl/wa-4
wa,lower,42,2,sldl/wa-42
wa,lower,43,2,sldl/wa-43
wa,lower,44,2,sldl/wa-44
wa,lower,45,2,sldl/wa-45
wa,lower,46,2,sldl/wa-46
wa,lower,47,2,sldl/wa-47
wa,lower,48,2,sldl/wa-48
wa,lower,49,2,sldl/wa-49
wa,lower,5,2,sldl/wa-5
wa,lower,6,2,sldl/wa-6
wa,lower,7,2,sldl/wa-7
wa,lower,8,2,sldl/wa-8
wa,lower,9,2,sldl/wa-9
wa,upper,10,1,sldu/wa-10
wa,upper,11,1,sldu/wa-11
wa,upper,1,1,sldu/wa-1
wa,upper,12,1,sldu/wa-12
wa,upper,13,1,sldu/wa-13
wa,upper,14,1,sldu/wa-14
wa,upper,15,1,sldu/wa-15
wa,upper,16,1,sldu/wa-16
wa,upper,17,1,sldu/wa-17
wa,upper,18,1,sldu/wa-18
wa,upper,19,1,sldu/wa-19
wa,upper,20,1,sldu/wa-20
wa,upper,21,1,sldu/wa-21
wa,upper,2,1,sldu/wa-2
wa,upper,22,1,sldu/wa-22
wa,upper,23,1,sldu/wa-23
wa,upper,24,1,sldu/wa-24
wa,upper,25,1,sldu/wa-25
wa,upper,26,1,sldu/wa-26
wa,upper,27,1,sldu/wa-27
wa,upper,28,1,sldu/wa-28
wa,upper,29,1,sldu/wa-29
wa,upper,30,1,sldu/wa-30
wa,upper,31,1,sldu/wa-31
wa,upper,3,1,sldu/wa-3
wa,upper,32,1,sldu/wa-32
wa,upper,33,1,sldu/wa-33
wa,upper,34,1,sldu/wa-34
wa,upper,35,1,sldu/wa-35
wa,upper,36,1,sldu/wa-36
wa,upper,37,1,sldu/wa-37
wa,upper,38,1,sldu/wa-38
wa,upper,39,1,sldu/wa-39
wa,upper,40,1,sldu/wa-40
wa,upper,41,1,sldu/wa-41
wa,upper,4,1,sldu/wa-4
wa,upper,42,1,sldu/wa-42
wa,upper,43,1,sldu/wa-43
wa,upper,44,1,sldu/wa-44
wa,upper,45,1,sldu/wa-45
wa,upper,46,1,sldu/wa-46
wa,upper,47,1,sldu/wa-47
wa,upper,48,1,sldu/wa-48
wa,upper,49,1,sldu/wa-49
wa,upper,5,1,sldu/wa-5
wa,upper,6,1,sldu/wa-6
wa,upper,7,1,sldu/wa-7
wa,upper,8,1,sldu/wa-8
wa,upper,9,1,sldu/wa-9
