"abbr","chamber","name","num_seats","boundary_id"
"vt","lower","Addison-1",2,"sldl/vt-addison-1"
"vt","lower","Addison-2",1,"sldl/vt-addison-2"
"vt","lower","Addison-3",2,"sldl/vt-addison-3"
"vt","lower","Addison-4",2,"sldl/vt-addison-4"
"vt","lower","Addison-5",1,"sldl/vt-addison-5"
"vt","lower","Addison-Rutland",1,"sldl/vt-addison-rutland"
"vt","lower","Bennington-1",1,"sldl/vt-bennington-1"
"vt","lower","Bennington-2-1",2,"sldl/vt-bennington-2-1"
"vt","lower","Bennington-2-2",2,"sldl/vt-bennington-2-2"
"vt","lower","Bennington-3",1,"sldl/vt-bennington-3"
"vt","lower","Bennington-4",2,"sldl/vt-bennington-4"
"vt","lower","Bennington-Rutland",1,"sldl/vt-bennington-rutland"
"vt","lower","Caledonia-1",1,"sldl/vt-caledonia-1"
"vt","lower","Caledonia-2",1,"sldl/vt-caledonia-2"
"vt","lower","Caledonia-3",2,"sldl/vt-caledonia-3"
"vt","lower","Caledonia-4",2,"sldl/vt-caledonia-4"
"vt","lower","Caledonia-Washington",1,"sldl/vt-caledonia-washington"
"vt","lower","Chittenden-10",2,"sldl/vt-chittenden-10"
"vt","lower","Chittenden-1",1,"sldl/vt-chittenden-1"
"vt","lower","Chittenden-2",2,"sldl/vt-chittenden-2"
"vt","lower","Chittenden-3",2,"sldl/vt-chittenden-3"
"vt","lower","Chittenden-4-1",1,"sldl/vt-chittenden-4-1"
"vt","lower","Chittenden-4-2",1,"sldl/vt-chittenden-4-2"
"vt","lower","Chittenden-5-1",1,"sldl/vt-chittenden-5-1"
"vt","lower","Chittenden-5-2",1,"sldl/vt-chittenden-5-2"
"vt","lower","Chittenden-6-1",2,"sldl/vt-chittenden-6-1"
"vt","lower","Chittenden-6-2",1,"sldl/vt-chittenden-6-2"
"vt","lower","Chittenden-6-3",2,"sldl/vt-chittenden-6-3"
"vt","lower","Chittenden-6-4",2,"sldl/vt-chittenden-6-4"
"vt","lower","Chittenden-6-5",2,"sldl/vt-chittenden-6-5"
"vt","lower","Chittenden-6-6",1,"sldl/vt-chittenden-6-6"
"vt","lower","Chittenden-6-7",2,"sldl/vt-chittenden-6-7"
"vt","lower","Chittenden-7-1",1,"sldl/vt-chittenden-7-1"
"vt","lower","Chittenden-7-2",1,"sldl/vt-chittenden-7-2"
"vt","lower","Chittenden-7-3",1,"sldl/vt-chittenden-7-3"
"vt","lower","Chittenden-7-4",1,"sldl/vt-chittenden-7-4"
"vt","lower","Chittenden-8-1",2,"sldl/vt-chittenden-8-1"
"vt","lower","Chittenden-8-2",2,"sldl/vt-chittenden-8-2"
"vt","lower","Chittenden-8-3",1,"sldl/vt-chittenden-8-3"
"vt","lower","Chittenden-9-1",2,"sldl/vt-chittenden-9-1"
"vt","lower","Chittenden-9-2",2,"sldl/vt-chittenden-9-2"
"vt","lower","Essex-Caledonia",1,"sldl/vt-essex-caledonia"
"vt","lower","Essex-Caledonia-Orleans",1,"sldl/vt-essex-caledonia-orleans"
"vt","lower","Franklin-1",1,"sldl/vt-franklin-1"
"vt","lower","Franklin-2",1,"sldl/vt-franklin-2"
"vt","lower","Franklin-3-1",2,"sldl/vt-franklin-3-1"
"vt","lower","Franklin-3-2",1,"sldl/vt-franklin-3-2"
"vt","lower","Franklin-4",2,"sldl/vt-franklin-4"
"vt","lower","Franklin-5",2,"sldl/vt-franklin-5"
"vt","lower","Franklin-6",1,"sldl/vt-franklin-6"
"vt","lower","Franklin-7",1,"sldl/vt-franklin-7"
"vt","lower","Grand Isle-Chittenden",2,"sldl/vt-grand-isle-chittenden"
"vt","lower","Lamoille-1",1,"sldl/vt-lamoille-1"
"vt","lower","Lamoille-2",2,"sldl/vt-lamoille-2"
"vt","lower","Lamoille-3",1,"sldl/vt-lamoille-3"
"vt","lower","Lamoille-Washington",2,"sldl/vt-lamoille-washington"
"vt","lower","Orange-1",2,"sldl/vt-orange-1"
"vt","lower","Orange-2",1,"sldl/vt-orange-2"
"vt","lower","Orange-Caledonia",1,"sldl/vt-orange-caledonia"
"vt","lower","Orange-Washington-Addison",2,"sldl/vt-orange-washington-addison"
"vt","lower","Orleans-1",2,"sldl/vt-orleans-1"
"vt","lower","Orleans-2",2,"sldl/vt-orleans-2"
"vt","lower","Orleans-Caledonia",2,"sldl/vt-orleans-caledonia"
"vt","lower","Orleans-Lamoille",1,"sldl/vt-orleans-lamoille"
"vt","lower","Rutland-1",1,"sldl/vt-rutland-1"
"vt","lower","Rutland-2",2,"sldl/vt-rutland-2"
"vt","lower","Rutland-3",2,"sldl/vt-rutland-3"
"vt","lower","Rutland-4",1,"sldl/vt-rutland-4"
"vt","lower","Rutland-5-1",1,"sldl/vt-rutland-5-1"
"vt","lower","Rutland-5-2",1,"sldl/vt-rutland-5-2"
"vt","lower","Rutland-5-3",1,"sldl/vt-rutland-5-3"
"vt","lower","Rutland-5-4",1,"sldl/vt-rutland-5-4"
"vt","lower","Rutland-6",2,"sldl/vt-rutland-6"
"vt","lower","Rutland-Bennington",1,"sldl/vt-rutland-bennington"
"vt","lower","Rutland-Windsor-1",1,"sldl/vt-rutland-windsor-1"
"vt","lower","Rutland-Windsor-2",1,"sldl/vt-rutland-windsor-2"
"vt","lower","Washington-1",2,"sldl/vt-washington-1"
"vt","lower","Washington-2",2,"sldl/vt-washington-2"
"vt","lower","Washington-3",2,"sldl/vt-washington-3"
"vt","lower","Washington-4",2,"sldl/vt-washington-4"
