abbr,chamber,name,num_seats,boundary_id
ny,lower,100,1,sldl/ny-100
ny,lower,101,1,sldl/ny-101
ny,lower,10,1,sldl/ny-10
ny,lower,102,1,sldl/ny-102
ny,lower,103,1,sldl/ny-103
ny,lower,104,1,sldl/ny-104
ny,lower,105,1,sldl/ny-105
ny,lower,106,1,sldl/ny-106
ny,lower,107,1,sldl/ny-107
ny,lower,108,1,sldl/ny-108
ny,lower,109,1,sldl/ny-109
ny,lower,110,1,sldl/ny-110
ny,lower,111,1,sldl/ny-111
ny,lower,11,1,sldl/ny-11
ny,lower,112,1,sldl/ny-112
ny,lower,113,1,sldl/ny-113
ny,lower,114,1,sldl/ny-114
ny,lower,115,1,sldl/ny-115
ny,lower,116,1,sldl/ny-116
ny,lower,117,1,sldl/ny-117
ny,lower,118,1,sldl/ny-118
ny,lower,119,1,sldl/ny-119
ny,lower,1,1,sldl/ny-1
ny,lower,120,1,sldl/ny-120
ny,lower,121,1,sldl/ny-121
ny,lower,12,1,sldl/ny-12
ny,lower,122,1,sldl/ny-122
ny,lower,123,1,sldl/ny-123
ny,lower,124,1,sldl/ny-124
ny,lower,125,1,sldl/ny-125
ny,lower,126,1,sldl/ny-126
ny,lower,127,1,sldl/ny-127
ny,lower,128,1,sldl/ny-128
ny,lower,129,1,sldl/ny-129
ny,lower,130,1,sldl/ny-130
ny,lower,131,1,sldl/ny-131
ny,lower,13,1,sldl/ny-13
ny,lower,132,1,sldl/ny-132
ny,lower,133,1,sldl/ny-133
ny,lower,134,1,sldl/ny-134
ny,lower,135,1,sldl/ny-135
ny,lower,136,1,sldl/ny-136
ny,lower,137,1,sldl/ny-137
ny,lower,138,1,sldl/ny-138
ny,lower,139,1,sldl/ny-139
ny,lower,140,1,sldl/ny-140
ny,lower,141,1,sldl/ny-141
ny,lower,14,1,sldl/ny-14
ny,lower,142,1,sldl/ny-142
ny,lower,143,1,sldl/ny-143
ny,lower,144,1,sldl/ny-144
ny,lower,145,1,sldl/ny-145
ny,lower,146,1,sldl/ny-146
ny,lower,147,1,sldl/ny-147
